Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
78,Rathod Sanjay Dulichand,DIGRAS,SHS,4,Graduate Professional,"Rs 8,01,53,419 ~ 8 Crore+","Rs 2,15,97,242 ~ 2 Crore+"
79,Zirwal Narhari Sitaram,DINDORI (ST),NCP,0,12th Pass,"Rs 3,39,89,699 ~ 3 Crore+","Rs 35,00,000 ~ 35 Lacs+"
80,Sunil Prabhu,DINDOSHI,SHS,0,10th Pass,,"Rs 45,88,000 ~ 45 Lacs+"
81,Ravindra Dattatray Chavan,DOMBIVALI,BJP,3,12th Pass,"Rs 9,77,56,436 ~ 9 Crore+","Rs 2,66,69,608 ~ 2 Crore+"
82,Chimanrao Rupchand Patil,ERANDOL,SHS,0,Post Graduate,"Rs 22,23,38,992 ~ 22 Crore+","Rs 1,04,18,579 ~ 1 Crore+"
83,Deorao Madguji Holi,GADCHIROLI (ST),BJP,0,Graduate Professional,"Rs 2,13,35,759 ~ 2 Crore+","Rs 38,38,229 ~ 38 Lacs+"
84,Ratnakar Manikrao Gutte,GANGAKHED,Rashtriya Samaj Paksha,8,8th Pass,"Rs 1,49,24,48,761 ~ 149 Crore+","Rs 32,54,98,533 ~ 32 Crore+"
85,Bamb Prashant Bansilal,GANGAPUR,BJP,0,Post Graduate,"Rs 9,11,54,797 ~ 9 Crore+","Rs 3,11,46,462 ~ 3 Crore+"
86,Rajeshbhaiyya Tope,GANSAVANGI,NCP,0,Graduate Professional,"Rs 53,98,88,316 ~ 53 Crore+","Rs 14,34,74,046 ~ 14 Crore+"
87,Laxman Madhavrao Pawar,GEORAI,BJP,1,Graduate Professional,"Rs 5,44,91,597 ~ 5 Crore+","Rs 97,35,862 ~ 97 Lacs+"
88,Ram Kadam,GHATKOPAR  WEST,BJP,2,12th Pass,"Rs 46,42,14,303 ~ 46 Crore+","Rs 14,50,13,256 ~ 14 Crore+"
89,Parag Shah,GHATKOPAR EAST,BJP,0,Graduate,"Rs 5,00,62,46,474 ~ 500 Crore+",Rs 0 ~
90,Agrawal Vinod Santoshkumar,GONDIA,IND,2,12th Pass,,"Rs 36,18,371 ~ 36 Lacs+"
